slice_id,z_um,z_mm,relative_depth_percent,slice_zone
421,33680.0,33.68,97.00460829493088,top_75_100
422,33760.0,33.76,97.23502304147466,top_75_100
423,33840.0,33.84,97.46543778801843,top_75_100
424,33920.0,33.92,97.6958525345622,top_75_100
425,34000.0,34.0,97.92626728110599,top_75_100
426,34080.0,34.08,98.15668202764977,top_75_100
427,34160.0,34.16,98.38709677419355,top_75_100
428,34240.0,34.24,98.61751152073732,top_75_100
429,34320.0,34.32,98.84792626728111,top_75_100
430,34400.0,34.4,99.07834101382488,top_75_100
431,34480.0,34.48,99.30875576036865,top_75_100
432,34560.0,34.56,99.53917050691244,top_75_100
433,34640.0,34.64,99.76958525345621,top_75_100
434,34720.0,34.72,100.0,top_75_100
