z_index,z_position_mm,pores_fraction,resin_fraction,material_fraction,total_fraction
305,24.400000000000002,0.003365224162865725,0.21031260429413728,0.786322171542997,1.0
306,24.48,0.002948047613750139,0.2078929803092669,0.7891589720769829,1.0
307,24.560000000000002,0.003476471242629881,0.20205250862164867,0.7944710201357215,1.0
308,24.64,0.0038658360218044277,0.19699076649237957,0.799143397485816,1.0
309,24.72,0.0035320947825119593,0.18756257648236735,0.8089053287351207,1.0
310,24.8,0.004700189120035599,0.18636667037490265,0.8089331405050617,1.0
311,24.88,0.00436644788074313,0.19042718878629436,0.8052063633329625,1.0
312,24.96,0.00525642451885638,0.19865947268884193,0.7960841027923017,1.0
313,25.04,0.00525642451885638,0.20772610968962066,0.787017465791523,1.0
314,25.12,0.005951718767382356,0.21187006341083547,0.7821782178217822,1.0
315,25.2,0.00556235398820781,0.21142507509177885,0.7830125709200133,1.0
316,25.28,0.006341083546556903,0.19979975525642452,0.7938591611970186,1.0
317,25.36,0.0072310601846701525,0.18628323506507954,0.8064857047502503,1.0
318,25.44,0.006062965847146513,0.17994215151852264,0.8139948826343308,1.0
319,25.52,0.004533318500389365,0.18097118700634107,0.8144954944932695,1.0
320,25.6,0.003420847702747803,0.18108243408610525,0.815496718211147,1.0
321,25.68,0.0030314829235732563,0.1853376348870842,0.8116308821893425,1.0
322,25.76,0.002781176994103905,0.18736789409278007,0.809850928913116,1.0
323,25.84,0.0029202358438091,0.1825564578929803,0.8145233062632106,1.0
324,25.92,0.002503059294693514,0.17802313939259096,0.8194738013127155,1.0
325,26.0,0.002503059294693514,0.17788408054288574,0.8196128601624207,1.0
326,26.080000000000002,0.002864612303927022,0.18002558682834577,0.8171098008677272,1.0
327,26.16,0.0037545889420402714,0.18291801090221382,0.8133274001557459,1.0
328,26.240000000000002,0.003281788853042608,0.18514295249749693,0.8115752586494605,1.0
329,26.32,0.002836800533985983,0.1903159417065302,0.8068472577594838,1.0
330,26.400000000000002,0.003448659472688842,0.19504394259650684,0.8015073979308043,1.0
331,26.48,0.003448659472688842,0.1940149071086884,0.8025364334186228,1.0
332,26.560000000000002,0.003977083101568584,0.18820224719101122,0.8078206697074202,1.0
333,26.64,0.004755812659917677,0.18633885860496163,0.8089053287351207,1.0
334,26.72,0.004588942040271443,0.1928190010012237,0.8025920569585049,1.0
335,26.8,0.005117365669151185,0.1990766492379575,0.7958059850928914,1.0
336,26.88,0.005312048058738458,0.20347090888864167,0.7912170430526199,1.0
337,26.96,0.006647013015908332,0.20769829791967961,0.785654689064412,1.0
338,27.04,0.008343530982311715,0.20753142730003338,0.784125041717655,1.0
339,27.12,0.009122260540660808,0.2101735454444321,0.7807041940149071,1.0
340,27.2,0.009150072310601847,0.21109133385248638,0.7797585938369118,1.0
341,27.28,0.008260095672488596,0.21200912226054067,0.7797307820669708,1.0
342,27.36,0.007815107353431973,0.21200912226054067,0.7801757703860274,1.0
343,27.44,0.007815107353431973,0.213677828457003,0.7785070641895651,1.0
344,27.52,0.006786071865613527,0.217237735009456,0.7759761931249305,1.0
345,27.6,0.006897318945377684,0.21192568695071753,0.7811769941039047,1.0
346,27.68,0.00700856602514184,0.2050005562353988,0.7879908777394593,1.0
347,27.76,0.0054511069084436535,0.2050561797752809,0.7894927133162755,1.0
348,27.84,0.005312048058738458,0.20931138057625986,0.7853765713650017,1.0
349,27.92,0.004894871509622872,0.2074758037601513,0.7876293247302258,1.0
350,28.0,0.004449883190566248,0.20714206252085882,0.788408054288575,1.0
351,28.080000000000002,0.004561130270330404,0.20196907331182556,0.793469796417844,1.0
352,28.16,0.005006118589387028,0.19960507286683724,0.7953888085437757,1.0
353,28.240000000000002,0.005033930359328068,0.20244187340082323,0.7925241962398487,1.0
354,28.32,0.004839247969740794,0.20767048614973857,0.7874902658805206,1.0
355,28.400000000000002,0.00525642451885638,0.21220380465012795,0.7825397708310157,1.0
356,28.48,0.0041439537212148185,0.21529091111358326,0.7805651351652019,1.0
357,28.560000000000002,0.004811436199799755,0.21812771164756925,0.777060852152631,1.0
358,28.64,0.006062965847146513,0.21921237067526977,0.7747246634775837,1.0
359,28.72,0.008649460451663144,0.216514628990989,0.7748359105573479,1.0
360,28.8,0.008705083991545222,0.2196017354544443,0.7716931805540105,1.0
361,28.88,0.008705083991545222,0.2216598064300812,0.7696351095783736,1.0
362,28.96,0.0077316720436088554,0.21734898208922016,0.774919345867171,1.0
363,29.04,0.0072310601846701525,0.2195739236845033,0.7731950161308265,1.0
364,29.12,0.0059239069974413175,0.2217154299699633,0.7723606630325954,1.0
365,29.2,0.005172989209033263,0.22377350094560017,0.7710535098453666,1.0
366,29.28,0.004227389031037935,0.22811213705640226,0.7676604739125598,1.0
