slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,assigned_fraction,mean_intensity,std_intensity,mean_intensity_pores,mean_intensity_resin,mean_intensity_matrix,pore_object_count,mean_pore_area_um2,median_pore_area_um2,mean_pore_equivalent_diameter_um,median_pore_equivalent_diameter_um,resin_object_count,mean_resin_area_um2,median_resin_area_um2,mean_resin_equivalent_diameter_um,median_resin_equivalent_diameter_um,heterogeneity_index
21,1680.0,0.004060518411391701,0.21593058182222716,0.7753087106463455,0.9952998108799644,183.59261319390367,33.52332039479597,71.0,128.9273570324575,199.6342145855006,65,14375.384615384615,6400.0,121.9011881207061,90.270333367641,242,205328.9256198347,124800.0,430.5861104554658,398.59023213625017,0.32534026440741287
22,1760.0,0.005228612748915341,0.2262209367004116,0.7641561908999889,0.9956057403493158,183.8800478362443,34.58606907974125,66.98936170212765,129.4679124661913,201.01528606784103,52,23138.46153846154,9600.0,149.9297276431997,108.96593154804972,239,217814.2259414226,153600.0,460.2788598017311,442.23251132330944,0.3187097275359753
23,1840.0,0.00611858938702859,0.22811213705640226,0.7615696962954722,0.9958004227389031,184.14937701635333,34.929256690748744,66.17727272727272,129.62253108997805,201.63798707227113,58,24275.862068965518,12800.0,153.78335677209785,127.66152972845846,255,205854.11764705883,128000.0,436.5432794176567,403.7012035232256,0.3170286488360552
24,1920.0,0.005979530537323395,0.22196573589943264,0.7669929914339748,0.9949382578707309,184.3987373456447,34.73179194717933,65.96744186046512,129.28317253477007,201.53963304082964,49,28081.632653061224,12800.0,166.61828117340613,127.66152972845846,245,208483.26530612246,140800.0,435.76810580823064,423.4053942720982,0.3202162876432354
25,2000.0,0.0057848481477361215,0.20908888641673157,0.7802592056958505,0.9951329402603182,184.60982867949716,34.08663016418871,65.61057692307692,128.50359138068634,200.76107645695956,53,25116.98113207547,12800.0,154.85506746023566,127.66152972845846,248,194012.90322580645,108800.0,420.8260994856891,372.19411933450226,0.3278513545464462
26,2080.0,0.005089553899210146,0.1980754255200801,0.7929413727889643,0.9961063522082545,184.85888307931916,33.098040015767054,66.02732240437159,128.40803145183938,199.9005997685104,52,22523.076923076922,6400.0,145.22833051713872,90.270333367641,267,170714.60674157302,102400.0,392.3769298683618,361.081333470564,0.3352974683261397
27,2160.0,0.004867059739681833,0.18945377683835798,0.8015630214706864,0.9958838580487263,185.11336077427967,32.440188569032266,67.58857142857143,128.37066940692895,199.4279865375941,64,17500.0,6400.0,131.18577886397418,90.270333367641,238,183179.83193277312,108800.0,411.73365312383584,372.19411933450226,0.3405019887251626
28,2240.0,0.00436644788074313,0.18681165869395927,0.8035654689064412,0.9947435754811437,185.27308376905106,32.04737339414543,66.37579617834395,128.6907845764478,199.30741009933203,45,22328.88888888889,6400.0,145.83020529460222,90.270333367641,260,165341.53846153847,96000.0,391.6082452763174,349.61549778946534,0.3419536343763463
29,2320.0,0.005423295138502615,0.18828568250083436,0.8008955389921014,0.9946045166314385,185.24833129380355,32.213558669626444,67.54871794871795,129.38596750369277,199.43754557766434,55,22690.909090909092,6400.0,144.44402168072202,90.270333367641,251,172621.51394422312,115200.0,402.5791712532625,382.9845891853754,0.34018060231516595
30,2400.0,0.005506730448325731,0.19459895427745022,0.7940816553565468,0.9941873400823228,185.17198798531538,32.875642779257895,65.44949494949495,129.18836644276118,200.00987671616699,47,26961.702127659573,6400.0,156.3682426771711,90.270333367641,245,182778.77551020408,115200.0,411.3654399152482,382.9845891853754,0.33615237784865426
31,2480.0,0.005228612748915341,0.19952163755701413,0.7894370897763934,0.9941873400823228,185.2681054622316,33.461579653683316,67.2872340425532,128.4892667967661,200.69853796019024,51,23592.156862745098,6400.0,150.3711965944292,90.270333367641,244,188170.49180327868,108800.0,412.7524761686027,372.19411933450226,0.3334554702402026
32,2560.0,0.004533318500389365,0.2087551451774391,0.7818444765824897,0.9951329402603182,185.37776727110912,34.01073765056498,64.20858895705521,128.71729283240074,201.47168468981218,43,24260.46511627907,6400.0,151.36859856352592,90.270333367641,238,201842.01680672268,124800.0,434.53983196632106,398.59023213625017,0.32903065928412856
33,2640.0,0.0043108243408610525,0.2157358994326399,0.776337746134164,0.9963844699076649,185.51054066080766,34.0490813885711,66.85161290322581,129.4964548150058,201.93060829691194,40,24800.0,12800.0,157.50059040689445,127.66152972845846,253,196224.50592885376,134400.0,433.2897201907383,413.67063566611284,0.3257471004179582
34,2720.0,0.00436644788074313,0.2123150517298921,0.7797029702970297,0.9963844699076649,185.70536210924465,33.65890718154962,69.10191082802548,130.06274561173697,201.69135009809168,47,21378.72340425532,6400.0,145.85961120444708,90.270333367641,251,194651.79282868525,147200.0,436.4881484932988,432.9213103844808,0.32767165051674996
35,2800.0,0.0038102124819223496,0.20255312048058738,0.789909889865391,0.9962732228279008,185.94640671932362,32.995065033222176,67.45985401459853,129.7279967046547,201.12231532990634,38,23073.684210526317,6400.0,152.4467553556887,90.270333367641,250,186444.8,128000.0,420.4683233439679,403.7012035232256,0.33373965582044013
